beitrag_id,plattform,kategorie,beitragstext,bildbeschreibung,sentiment,hashtags,autor_typ,verlinkte_themen
0,Facebook,Politik,Wählen gehen ist wichtiger denn je!,Wahlplakate in einer Großstadtstraße,positiv,#engagement #wahlen #meinemeinung #gerechtigkeit,NGO,"Bildung, Wirtschaft"
1,TikTok,Reisen,Sonnenuntergang an der Algarve – ein Traum!,Palmenstrand mit orangem Himmel bei Sonnenuntergang,negativ,#meerliebe #roadtrip,Unternehmen,"Musik, Klima"
2,TikTok,Bildung,Bildung ist der Schlüssel für Chancengleichheit,Kind mit Buch in einer Bibliothek,positiv,#uni #vortrag #wissen,Unternehmen,"Bildung, Klima"
3,TikTok,Reisen,Kopenhagen im Frühling ist einfach magisch,Blühende Bäume und Fahrräder an einem Kanal,positiv,#meerliebe #bergliebe,Unternehmen,"Essen, Klima"
4,Instagram,Musik,Spontane Jam-Session im Park – Musik verbindet.,Menschen mit Gitarren auf einer Wiese im Kreis,neutral,#bandlife #konzert,Unternehmen,"Reisen, Technologie"
5,Facebook,Technologie,KI verändert unseren Alltag – spannend & beängstigend,Futuristische Darstellung eines Roboters vor Stadt,positiv,#startups #blockchain #digitalisierung #robotik,Influencer,"Technologie, Bildung"
6,Facebook,Klima,Mehr Radwege für bessere Luft in Städten,Radfahrer auf neu gebautem Fahrradweg mit Bäumen,neutral,#chor #skaten #beats,Partei,"Sport, Wirtschaft"
7,TikTok,Technologie,Datenschutz muss endlich ernst genommen werden,Schloss-Symbol auf einem digitalen Bildschirm,negativ,#blockchain #ki #digitalisierung #innovation,Unternehmen,"Sport, Essen"
8,TikTok,Politik,Klimaschutz muss endlich Priorität haben!,Aktivisten mit Bannern vor dem Bundestag,negativ,#gerechtigkeit #klimapolitik #wahlen,Influencer,"Technologie, Essen"
9,TikTok,Reisen,Mit dem Zug durch die Alpen – nachhaltig und schön!,Berglandschaft mit Zug im Vordergrund,positiv,#bergliebe #abenteuer,Partei,"Reisen, Wirtschaft"
10,Instagram,Reisen,Wandern in der Sächsischen Schweiz – Natur pur,Felsenlandschaft mit Wanderweg und Aussicht,neutral,#bergliebe #roadtrip #meerliebe #wanderlust,Privatperson,"Musik, Reisen"
11,Facebook,Sport,5km Lauf am Morgen – fühlt sich großartig an!,Jogger bei Sonnenaufgang im Park,positiv,#fitness #marathon #skaten #klettern,Partei,"Reisen, Musik"
12,Facebook,Politik,Wir fordern mehr soziale Gerechtigkeit für alle!,Menschen mit Plakaten auf einer Demonstration,negativ,#meinemeinung #engagement #gerechtigkeit #demokratie,Unternehmen,"Technologie, Klima"
13,TikTok,Musik,Das neue Album von XY ist ein Meisterwerk!,Konzertszene mit bunten Lichtern und jubelndem Publikum,negativ,#jamsession #bandlife #beats #chor,Partei,"Musik, Sport"
14,Facebook,Reisen,Japan im Herbst – Kultur und Farben!,Rote Ahornblätter vor einem Tempel in Kyoto,neutral,#abenteuer #roadtrip #bergliebe #meerliebe,Unternehmen,"Essen, Technologie"
15,Instagram,Bildung,"Mehr Lehrer, bessere Schulen!",Volles Klassenzimmer mit engagierter Lehrkraft,positiv,#bildungfüralle #schule #lernen,Privatperson,"Wirtschaft, Politik"
16,Facebook,Politik,Transparenz in der Regierung ist unerlässlich,Hand mit Lupe über einem Gesetzestext,neutral,#engagement #klimapolitik #wahlen #demokratie,Privatperson,"Klima, Wirtschaft"
17,TikTok,Sport,Champions League Finale – was für ein Spiel!,Stadion voller jubelnder Fans bei Nacht,positiv,#klettern #fitness,Privatperson,"Musik, Klima"
18,Facebook,Musik,Klassik im Park – Musik für die Seele,Orchester spielt auf einer Sommerbühne,neutral,#musikliebe #konzert #beats,Privatperson,"Essen, Bildung"
19,Instagram,Musik,Erstes Konzert nach zwei Jahren – Gänsehaut pur!,Nahaufnahme einer Sängerin auf der Bühne,neutral,#jamsession #beats #musikliebe #chor,NGO,"Technologie, Bildung"
20,Instagram,Politik,Jugendliche brauchen mehr Mitbestimmung!,Schüler diskutieren mit Politikern auf einer Bühne,negativ,#wahlen #klimapolitik #gerechtigkeit,NGO,"Bildung, Wirtschaft"
21,Instagram,Technologie,Neues Smartphone ausprobiert – unfassbare Kamera!,Hand mit Smartphone macht Foto von Sonnenuntergang,positiv,#blockchain #robotik,Unternehmen,"Technologie, Musik"
22,Facebook,Wirtschaft,Startups brauchen faire Förderung!,Junge Gründerin mit Laptop in einem Coworking Space,positiv,#konzert #citytrip #blockchain,Partei,"Klima, Wirtschaft"
23,Facebook,Technologie,Virtuelle Realität – Lernen neu gedacht,Mensch mit VR-Brille in interaktivem Raum,negativ,#robotik #blockchain #digitalisierung,Influencer,"Musik, Klima"
24,TikTok,Essen,Sonntagsbrunch mit Freunden – so lecker!,"Tisch mit Croissants, Kaffee und Obst",neutral,#musikliebe #fitness #vortrag,Influencer,"Bildung, Klima"
25,TikTok,Sport,Klettern lehrt Fokus und Kraft,Kletterer an einer steilen Felswand mit Seil,negativ,#skaten #marathon,NGO,"Technologie, Musik"
26,TikTok,Essen,Frühstück unter freiem Himmel,"Tisch mit Kaffee, Croissants und Sonnenstrahlen",positiv,#lernen #ki #konzert,Partei,"Klima, Technologie"
27,Facebook,Sport,Yoga am Morgen bringt Klarheit für den Tag,Person bei Sonnenaufgang in der Yoga-Pose auf einer Matte,negativ,#fitness #skaten #fussball,Influencer,"Bildung, Essen"
28,TikTok,Klima,Stadtbegrünung gegen Hitzewellen!,Grüne Dächer und Pflanzen an Häuserwänden,negativ,#klimapolitik #blockchain #musikliebe,Privatperson,"Reisen, Politik"
29,Facebook,Wirtschaft,Kryptowährungen: Chance oder Risiko?,Symbolbild mit Bitcoin und Diagramm,negativ,#chor #wissen #bergliebe,NGO,"Politik, Wirtschaft"
30,Facebook,Bildung,Lernen mit Tablets – aber bitte sinnvoll!,Schulkind mit Tablet im Klassenzimmer,positiv,#bildungfüralle #schule #uni #wissen,Privatperson,"Klima, Politik"
31,Instagram,Wirtschaft,Bürokratie abbauen für den Mittelstand,Mensch mit Aktenordnern in einem Büro,positiv,#roadtrip #bildungfüralle #ki,NGO,"Bildung, Politik"
32,TikTok,Klima,Klimastreik in 40 Städten – ein starkes Zeichen,Menschenmenge mit Schildern vor Rathaus,neutral,#schule #bergliebe #meinemeinung,Influencer,"Reisen, Sport"
33,Instagram,Musik,Vinyl ist zurück – Musik zum Anfassen,Plattenspieler mit aufgelegter Schallplatte,neutral,#vinyl #jamsession #konzert,NGO,"Musik, Politik"
34,Instagram,Reisen,Roadtrip durch Skandinavien – unvergesslich!,Campervan auf einer Straße entlang eines Fjords,negativ,#wanderlust #meerliebe #bergliebe,NGO,"Klima, Politik"
35,Instagram,Bildung,Eltern fordern kleinere Klassen,Protestierende mit Plakaten vor einem Schulgebäude,negativ,#lernen #uni #vortrag,Influencer,"Politik, Technologie"
36,Facebook,Bildung,Digitale Bildung muss für alle zugänglich sein,Laptop im Klassenzimmer mit Kindern davor,negativ,#vortrag #schule,Partei,"Wirtschaft, Essen"
37,TikTok,Technologie,Drohnenaufnahmen eröffnen neue Perspektiven,Luftbild von Stadt mit Drohne im Vordergrund,negativ,#robotik #innovation,Privatperson,"Sport, Bildung"
38,Facebook,Essen,Streetfood in Istanbul – ein Geschmackserlebnis,Dampfender Kebab mit Beilagen auf einem Pappteller,positiv,#marathon #fussball #wissen,Influencer,"Bildung, Reisen"
39,Instagram,Essen,Selbstgemachte Marmelade wie bei Oma,Einmachgläser mit Etiketten auf Holztisch,positiv,#meerliebe #musikliebe #fitness,Unternehmen,"Politik, Essen"
40,Instagram,Essen,Vegane Burger sind meine neue Leidenschaft!,Nahaufnahme von einem bunten veganen Burger,negativ,#vortrag #wanderlust #ki,Unternehmen,"Sport, Musik"
41,Instagram,Essen,Hausgemachte Pasta mit Pesto – einfach herrlich,Frische Pasta mit grünem Pesto auf Keramikteller,positiv,#schule #meerliebe #engagement,Influencer,"Wirtschaft, Sport"
42,Facebook,Wirtschaft,Inflation betrifft uns alle – gerechte Löhne jetzt!,Demonstration mit Transparenten vor einer Bank,negativ,#engagement #digitalisierung #demokratie,Unternehmen,"Technologie, Essen"
43,Instagram,Klima,Kipppunkte vermeiden – jetzt handeln!,Eisschollen im Schmelzprozess in der Arktis,negativ,#vinyl #vortrag #lernen,Influencer,"Politik, Technologie"
44,Instagram,Bildung,Mehr Investitionen in frühkindliche Bildung,Kindergarten mit lachenden Kindern im Garten,neutral,#wissen #uni,Privatperson,"Essen, Politik"
45,Instagram,Sport,Was für ein Spiel gestern – pure Spannung!,Fußballspieler beim Torschuss im Stadion,neutral,#radfahren #basketball #skaten,NGO,"Politik, Essen"
46,Facebook,Wirtschaft,Regionale Produkte stärken unsere Wirtschaft,Marktstand mit regionalem Obst und Gemüse,positiv,#engagement #radfahren #meerliebe,Unternehmen,"Politik, Reisen"
47,Instagram,Musik,Musikfestival im Wald – magische Atmosphäre,Lichterketten zwischen Bäumen bei Nacht,positiv,#vinyl #beats,Privatperson,"Reisen, Musik"
48,TikTok,Wirtschaft,Mindestlohn an Lebenshaltung anpassen!,Münzen und Scheine auf einem Einkaufszettel,negativ,#klettern #ki #demokratie,Privatperson,"Sport, Reisen"
49,TikTok,Klima,Wassermangel ist längst Realität,Rissige Erde unter einem klaren Himmel,neutral,#wahlen #roadtrip #klettern,Influencer,"Klima, Wirtschaft"
50,Facebook,Sport,Tennis-Turnier in München – Finale war Wahnsinn!,Tennisspielerin beim Aufschlag vor Publikum,negativ,#fitness #klettern #marathon,Influencer,"Klima, Bildung"
51,Instagram,Klima,Jeder Baum zählt – wir pflanzen für die Zukunft,Freiwillige beim Bäume pflanzen auf einem Feld,negativ,#klettern #fussball #ki,Partei,"Technologie, Wirtschaft"
52,TikTok,Technologie,Smart Home Setup endlich komplett!,Moderne Wohnung mit vernetztem Lichtsystem,negativ,#blockchain #startups #digitalisierung #ki,Unternehmen,"Technologie, Sport"
53,Facebook,Politik,Wir müssen den Lobbyismus endlich eindämmen,Illustration von Geldscheinen in einer Politikerhand,negativ,#klimapolitik #gerechtigkeit #meinemeinung #engagement,Privatperson,"Reisen, Politik"
54,Instagram,Sport,Ein Erlebnis in ein Treffen mit kulturelle Vielfalt.,Kind mit Buch auf einer Wiese,neutral,#marathon #klettern #fussball,Influencer,"Politik, Musik"
55,TikTok,Bildung,Wir brauchen dringend eine Aktion zu faire Löhne.,Publikum mit bunten Lichtern,neutral,#vortrag #lernen #uni,Privatperson,"Essen, Politik"
56,TikTok,Technologie,So sieht einen Vortrag über Jugendpolitik.,Familie auf dem Markt mit Einkaufstaschen,neutral,#blockchain #startups #robotik,Partei,"Technologie, Musik"
57,Instagram,Politik,Endlich wieder ein Treffen mit kulturelle Vielfalt.,Menschen mit Schildern vor dem Rathaus,negativ,#engagement #klimapolitik,NGO,"Musik, Klima"
58,Instagram,Bildung,Gemeinsam für eine Wanderung durch Demokratie.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#bildungfüralle #schule,NGO,"Klima, Technologie"
59,Facebook,Sport,Gemeinsam für eine Wanderung durch Bildung.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#basketball #fussball #fitness #radfahren,Influencer,"Reisen, Politik"
60,TikTok,Essen,Ich war gestern bei eine Aktion zu gesunde Ernährung.,Zelt mit Transparenten im Stadtpark,positiv,#gerechtigkeit #basketball #bandlife,Influencer,"Technologie, Politik"
61,Facebook,Reisen,Ein Erlebnis in ein Konzert in soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,negativ,#roadtrip #meerliebe #abenteuer,Influencer,"Bildung, Wirtschaft"
62,TikTok,Technologie,Wir brauchen dringend eine Diskussion zu Demokratie.,Zelt mit Transparenten im Stadtpark,negativ,#startups #digitalisierung #blockchain,Privatperson,"Wirtschaft, Politik"
63,Instagram,Musik,Heute gab es eine Aktion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,negativ,#vinyl #jamsession #beats,Influencer,"Essen, Technologie"
64,TikTok,Reisen,Wir brauchen dringend eine Diskussion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,positiv,#wanderlust #citytrip,Influencer,"Politik, Bildung"
65,TikTok,Klima,Gemeinsam für ein Treffen mit Demokratie.,Publikum mit bunten Lichtern,negativ,#klettern #digitalisierung #innovation,Partei,"Politik, Wirtschaft"
66,Facebook,Technologie,Wir brauchen dringend einen Vortrag über Bildung.,Kind mit Buch auf einer Wiese,negativ,#ki #startups,Influencer,"Musik, Wirtschaft"
67,TikTok,Sport,Endlich wieder eine Diskussion zu faire Löhne.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#basketball #fitness,Privatperson,"Klima, Essen"
68,Instagram,Technologie,Endlich wieder eine Wanderung durch Jugendpolitik.,Kind mit Buch auf einer Wiese,negativ,#digitalisierung #blockchain,Unternehmen,"Sport, Musik"
69,Instagram,Sport,Viele Menschen demonstrieren für eine Aktion zu digitale Teilhabe.,eine Bühne mit Rednerin im Rampenlicht,negativ,#marathon #skaten #basketball,Unternehmen,"Politik, Essen"
70,Facebook,Bildung,Ein Erlebnis in eine Demo für Bildung.,Familie auf dem Markt mit Einkaufstaschen,negativ,#schule #vortrag #uni,Unternehmen,"Sport, Klima"
71,Facebook,Wirtschaft,So sieht eine Wanderung durch soziale Gerechtigkeit.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#uni #radfahren #fussball,Influencer,"Musik, Klima"
72,TikTok,Klima,So sieht einen Workshop zu kulturelle Vielfalt.,Zelt mit Transparenten im Stadtpark,neutral,#citytrip #abenteuer #bergliebe,Influencer,"Essen, Politik"
73,TikTok,Technologie,So sieht ein Treffen mit faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,negativ,#digitalisierung #startups,Influencer,"Technologie, Wirtschaft"
74,Facebook,Musik,Ich war gestern bei eine Wanderung durch gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,neutral,#konzert #chor #bandlife #jamsession,Privatperson,"Politik, Essen"
75,Instagram,Technologie,Endlich wieder eine Demo für Klimaschutz.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#innovation #digitalisierung,Influencer,"Bildung, Musik"
76,TikTok,Essen,Ein Erlebnis in eine Aktion zu Jugendpolitik.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#schule #roadtrip #ki,Influencer,"Musik, Klima"
77,TikTok,Politik,Ein Erlebnis in ein Treffen mit Bildung.,Schüler in einem Klassenzimmer mit Tablets,neutral,#wahlen #meinemeinung #demokratie #engagement,Unternehmen,"Bildung, Politik"
78,Instagram,Politik,Wir brauchen dringend eine Aktion zu Jugendpolitik.,Familie auf dem Markt mit Einkaufstaschen,positiv,#klimapolitik #engagement #demokratie,NGO,"Technologie, Essen"
79,TikTok,Klima,Wir brauchen dringend einen Workshop zu Bildung.,Menschen mit Schildern vor dem Rathaus,neutral,#abenteuer #vortrag #skaten,Partei,"Wirtschaft, Bildung"
80,Facebook,Bildung,Endlich wieder eine Diskussion zu soziale Gerechtigkeit.,Publikum mit bunten Lichtern,positiv,#lernen #uni #vortrag #schule,Partei,"Reisen, Musik"
81,TikTok,Wirtschaft,Heute gab es eine Demo für Bildung.,Menschen mit Schildern vor dem Rathaus,neutral,#bildungfüralle #radfahren #blockchain,Influencer,"Klima, Wirtschaft"
82,Instagram,Sport,Ich war gestern bei ein Treffen mit gesunde Ernährung.,Zelt mit Transparenten im Stadtpark,negativ,#klettern #basketball #skaten #marathon,Privatperson,"Reisen, Musik"
83,Instagram,Reisen,Wir brauchen dringend einen Vortrag über gesunde Ernährung.,Familie auf dem Markt mit Einkaufstaschen,neutral,#abenteuer #wanderlust #roadtrip #meerliebe,Unternehmen,"Technologie, Reisen"
84,TikTok,Technologie,Wir brauchen dringend eine Aktion zu soziale Gerechtigkeit.,Menschen mit Schildern vor dem Rathaus,positiv,#digitalisierung #robotik #ki,Privatperson,"Politik, Sport"
85,Instagram,Sport,Wir brauchen dringend eine Demo für Bildung.,Kind mit Buch auf einer Wiese,neutral,#radfahren #skaten #basketball,Influencer,"Reisen, Klima"
86,Facebook,Wirtschaft,Ich war gestern bei eine Demo für Klimaschutz.,Menschen mit Schildern vor dem Rathaus,positiv,#innovation #bildungfüralle #klimapolitik,Unternehmen,"Musik, Reisen"
87,TikTok,Sport,Viele Menschen demonstrieren für eine Demo für Klimaschutz.,eine Bühne mit Rednerin im Rampenlicht,positiv,#skaten #klettern,Partei,"Reisen, Bildung"
88,Instagram,Technologie,Heute gab es einen Workshop zu faire Löhne.,Schüler in einem Klassenzimmer mit Tablets,neutral,#ki #robotik #digitalisierung,Privatperson,"Sport, Bildung"
89,Facebook,Technologie,So sieht einen Vortrag über Jugendpolitik.,Kind mit Buch auf einer Wiese,positiv,#innovation #robotik #blockchain,Influencer,"Wirtschaft, Klima"
90,Facebook,Essen,Ein Erlebnis in eine Wanderung durch Klimaschutz.,eine Bühne mit Rednerin im Rampenlicht,positiv,#robotik #bildungfüralle #lernen,Partei,"Essen, Reisen"
91,Instagram,Politik,Ein Erlebnis in einen Workshop zu faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,positiv,#klimapolitik #meinemeinung #wahlen #engagement,NGO,"Wirtschaft, Essen"
92,Instagram,Technologie,Heute gab es eine Demo für Bildung.,Schüler in einem Klassenzimmer mit Tablets,neutral,#ki #innovation #digitalisierung,NGO,"Wirtschaft, Klima"
93,Instagram,Sport,Ich war gestern bei eine Diskussion zu Klimaschutz.,Kind mit Buch auf einer Wiese,negativ,#klettern #basketball,Influencer,"Musik, Technologie"
94,Instagram,Politik,Heute gab es eine Demo für Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,neutral,#wahlen #gerechtigkeit #meinemeinung #engagement,Partei,"Reisen, Essen"
95,Facebook,Bildung,Endlich wieder eine Aktion zu Demokratie.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#wissen #schule,NGO,"Technologie, Politik"
96,Instagram,Musik,Ich war gestern bei eine Demo für kulturelle Vielfalt.,Schüler in einem Klassenzimmer mit Tablets,neutral,#vinyl #beats,Unternehmen,"Essen, Wirtschaft"
97,Instagram,Technologie,Ich war gestern bei ein Treffen mit faire Löhne.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#blockchain #robotik #startups,Partei,"Politik, Wirtschaft"
