post_id,text,themen_tags,emotion,tonalitaet,autor_typ,plattform
0,Post #0: Thema Wirtschaft,['sicherheit'],Dringlichkeit,Neutral,Journalist/in,Instagram
1,Post #1: Thema Wirtschaft,"['wirtschaft', 'sicherheit', 'bildung']",Hoffnung,Positiv,Politiker/in,Facebook
2,Post #2: Thema Bildung,['umwelt'],Optimismus,Neutral,Think Tank,LinkedIn
3,Post #3: Thema Bildung,"['sicherheit', 'gesundheit']",Hoffnung,Neutral,Think Tank,LinkedIn
4,Post #4: Thema Digitalisierung,"['migration', 'wirtschaft']",Sicherheit,Positiv,Journalist/in,Facebook
5,Post #5: Thema Gesundheit,['digitalisierung'],Sicherheit,Informativ,Journalist/in,X
6,Post #6: Thema Umwelt,"['familie', 'sicherheit', 'umwelt']",Skepsis,Positiv,Journalist/in,X
7,Post #7: Thema Digitalisierung,"['bildung', 'digitalisierung', 'umwelt']",Hoffnung,Neutral,NGO,X
8,Post #8: Thema Wirtschaft,['wirtschaft'],Skepsis,Fordernd,Partei,LinkedIn
9,Post #9: Thema Digitalisierung,['digitalisierung'],Sicherheit,Neutral,NGO,X
10,Post #10: Thema Wirtschaft,"['migration', 'sicherheit', 'digitalisierung']",Dringlichkeit,Neutral,Think Tank,LinkedIn
11,Post #11: Thema Gesundheit,"['bildung', 'digitalisierung']",Sicherheit,Positiv,Politiker/in,Instagram
12,Post #12: Thema Umwelt,"['gesundheit', 'migration']",Hoffnung,Neutral,Partei,X
13,Post #13: Thema Bildung,"['familie', 'bildung', 'digitalisierung']",Skepsis,Neutral,Politiker/in,X
14,Post #14: Thema Migration,['sicherheit'],Optimismus,Aktivistisch,Think Tank,LinkedIn
15,Post #15: Thema Digitalisierung,['migration'],Optimismus,Aktivistisch,Think Tank,Facebook
16,Post #16: Thema Umwelt,['migration'],Dringlichkeit,Aktivistisch,Politiker/in,Facebook
17,Post #17: Thema Gesundheit,"['familie', 'sicherheit']",Sicherheit,Informativ,Politiker/in,Facebook
18,Post #18: Thema Wirtschaft,"['sicherheit', 'gesundheit', 'digitalisierung']",Sicherheit,Positiv,Politiker/in,X
19,Post #19: Thema Gesundheit,['familie'],Hoffnung,Fordernd,Think Tank,Instagram
20,Post #20: Thema Wirtschaft,"['sicherheit', 'gesundheit', 'digitalisierung']",Optimismus,Informativ,Journalist/in,Instagram
21,Post #21: Thema Migration,"['migration', 'sicherheit']",Optimismus,Positiv,Politiker/in,X
22,Post #22: Thema Familie,['wirtschaft'],Sicherheit,Fordernd,Partei,Instagram
23,Post #23: Thema Umwelt,['wirtschaft'],Hoffnung,Aktivistisch,Think Tank,Facebook
24,Post #24: Thema Migration,['familie'],Optimismus,Neutral,NGO,X
25,Post #25: Thema Gesundheit,['bildung'],Sicherheit,Aktivistisch,NGO,X
26,Post #26: Thema Familie,"['familie', 'umwelt', 'wirtschaft']",Dringlichkeit,Positiv,Partei,X
27,Post #27: Thema Umwelt,"['bildung', 'sicherheit', 'wirtschaft']",Hoffnung,Positiv,Journalist/in,Facebook
28,Post #28: Thema Bildung,['umwelt'],Sicherheit,Positiv,Politiker/in,Instagram
29,Post #29: Thema Sicherheit,"['familie', 'wirtschaft', 'sicherheit']",Dringlichkeit,Informativ,Think Tank,LinkedIn
30,Post #30: Thema Bildung,"['gesundheit', 'wirtschaft']",Hoffnung,Positiv,Politiker/in,LinkedIn
31,Post #31: Thema Digitalisierung,"['gesundheit', 'bildung']",Hoffnung,Positiv,Think Tank,Facebook
32,Post #32: Thema Gesundheit,"['digitalisierung', 'gesundheit', 'umwelt']",Dringlichkeit,Neutral,NGO,Instagram
33,Post #33: Thema Familie,['gesundheit'],Dringlichkeit,Fordernd,Politiker/in,LinkedIn
34,Post #34: Thema Bildung,['familie'],Optimismus,Positiv,Partei,Facebook
35,Post #35: Thema Umwelt,['bildung'],Dringlichkeit,Aktivistisch,Journalist/in,LinkedIn
36,Post #36: Thema Familie,['gesundheit'],Hoffnung,Neutral,Partei,LinkedIn
37,Post #37: Thema Umwelt,"['sicherheit', 'gesundheit']",Skepsis,Fordernd,Journalist/in,LinkedIn
38,Post #38: Thema Familie,['bildung'],Sicherheit,Neutral,Politiker/in,Facebook
39,Post #39: Thema Umwelt,"['digitalisierung', 'umwelt', 'gesundheit']",Optimismus,Aktivistisch,Politiker/in,Instagram
