beitrag_id,plattform,kategorie,beitragstext,bildbeschreibung,sentiment,hashtags,autor_typ,verlinkte_themen
0,Facebook,Politik,Wählen gehen ist wichtiger denn je!,Wahlplakate in einer Großstadtstraße,positiv,#wichtiger #je,NGO,"Bildung, Wirtschaft"
1,TikTok,Reisen,Sonnenuntergang an der Algarve – ein Traum!,Palmenstrand mit orangem Himmel bei Sonnenuntergang,negativ,#an #ein,Unternehmen,"Musik, Klima"
2,TikTok,Bildung,Bildung ist der Schlüssel für Chancengleichheit,Kind mit Buch in einer Bibliothek,positiv,#ist #der,Unternehmen,"Bildung, Klima"
3,TikTok,Reisen,Kopenhagen im Frühling ist einfach magisch,Blühende Bäume und Fahrräder an einem Kanal,positiv,#einfach #ist,Unternehmen,"Essen, Klima"
4,Instagram,Musik,Spontane Jam-Session im Park – Musik verbindet.,Menschen mit Gitarren auf einer Wiese im Kreis,neutral,#musik #jam-session,Unternehmen,"Reisen, Technologie"
5,Facebook,Technologie,KI verändert unseren Alltag – spannend & beängstigend,Futuristische Darstellung eines Roboters vor Stadt,positiv,#beängstigend #unseren,Influencer,"Technologie, Bildung"
6,Facebook,Klima,Mehr Radwege für bessere Luft in Städten,Radfahrer auf neu gebautem Fahrradweg mit Bäumen,neutral,#radwege #für,Partei,"Sport, Wirtschaft"
7,TikTok,Technologie,Datenschutz muss endlich ernst genommen werden,Schloss-Symbol auf einem digitalen Bildschirm,negativ,#ernst #muss,Unternehmen,"Sport, Essen"
8,TikTok,Politik,Klimaschutz muss endlich Priorität haben!,Aktivisten mit Bannern vor dem Bundestag,negativ,#endlich #klimaschutz,Influencer,"Technologie, Essen"
9,TikTok,Reisen,Mit dem Zug durch die Alpen – nachhaltig und schön!,Berglandschaft mit Zug im Vordergrund,positiv,#und #die,Partei,"Reisen, Wirtschaft"
10,Instagram,Reisen,Wandern in der Sächsischen Schweiz – Natur pur,Felsenlandschaft mit Wanderweg und Aussicht,neutral,#schweiz #in,Privatperson,"Musik, Reisen"
11,Facebook,Sport,5km Lauf am Morgen – fühlt sich großartig an!,Jogger bei Sonnenaufgang im Park,positiv,#lauf #–,Partei,"Reisen, Musik"
12,Facebook,Politik,Wir fordern mehr soziale Gerechtigkeit für alle!,Menschen mit Plakaten auf einer Demonstration,negativ,#alle #wir,Unternehmen,"Technologie, Klima"
13,TikTok,Musik,Das neue Album von XY ist ein Meisterwerk!,Konzertszene mit bunten Lichtern und jubelndem Publikum,negativ,#von #ist,Partei,"Musik, Sport"
14,Facebook,Reisen,Japan im Herbst – Kultur und Farben!,Rote Ahornblätter vor einem Tempel in Kyoto,neutral,#kultur #japan,Unternehmen,"Essen, Technologie"
15,Instagram,Bildung,"Mehr Lehrer, bessere Schulen!",Volles Klassenzimmer mit engagierter Lehrkraft,positiv,#mehr #bessere,Privatperson,"Wirtschaft, Politik"
16,Facebook,Politik,Transparenz in der Regierung ist unerlässlich,Hand mit Lupe über einem Gesetzestext,neutral,#in #unerlässlich,Privatperson,"Klima, Wirtschaft"
17,TikTok,Sport,Champions League Finale – was für ein Spiel!,Stadion voller jubelnder Fans bei Nacht,positiv,#– #finale,Privatperson,"Musik, Klima"
18,Facebook,Musik,Klassik im Park – Musik für die Seele,Orchester spielt auf einer Sommerbühne,neutral,#seele #für,Privatperson,"Essen, Bildung"
19,Instagram,Musik,Erstes Konzert nach zwei Jahren – Gänsehaut pur!,Nahaufnahme einer Sängerin auf der Bühne,neutral,#gänsehaut #pur,NGO,"Technologie, Bildung"
20,Instagram,Politik,Jugendliche brauchen mehr Mitbestimmung!,Schüler diskutieren mit Politikern auf einer Bühne,negativ,#brauchen #jugendliche,NGO,"Bildung, Wirtschaft"
21,Instagram,Technologie,Neues Smartphone ausprobiert – unfassbare Kamera!,Hand mit Smartphone macht Foto von Sonnenuntergang,positiv,#– #smartphone,Unternehmen,"Technologie, Musik"
22,Facebook,Wirtschaft,Startups brauchen faire Förderung!,Junge Gründerin mit Laptop in einem Coworking Space,positiv,#förderung #startups,Partei,"Klima, Wirtschaft"
23,Facebook,Technologie,Virtuelle Realität – Lernen neu gedacht,Mensch mit VR-Brille in interaktivem Raum,negativ,#gedacht #–,Influencer,"Musik, Klima"
